37.0,test37,Informāciju tehnoloģijas,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,1.0,5.0,2015-7-9,
38.0,test38,Informāciju tehnoloģijas,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,1.0,5.0,2015-7-9,
39.0,test39,Informāciju tehnoloģijas,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,1.0,5.0,2015-7-9,
40.0,test40,Informāciju tehnoloģijas,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,1.0,5.0,2015-7-9,
41.0,test41,Informāciju tehnoloģijas,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,1.0,5.0,2015-7-9,
42.0,test42,Informāciju tehnoloģijas,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,1.0,5.0,2015-7-9,
43.0,test43,Informāciju tehnoloģijas,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,1.0,5.0,2015-7-9,
44.0,test44,Informāciju tehnoloģijas,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,1.0,5.0,2015-7-9,
45.0,test45,Informāciju tehnoloģijas,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,1.0,5.0,2015-7-9,
46.0,test46,Informāciju tehnoloģijas,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,1.0,5.0,2015-7-9,
47.0,test47,Informāciju tehnoloģijas,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,1.0,5.0,2015-7-9,
48.0,test48,Informāciju tehnoloģijas,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,1.0,5.0,2015-7-9,
49.0,test49,Informāciju tehnoloģijas,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,1.0,5.0,2015-7-9,
50.0,test50,Informāciju tehnoloģijas,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,1.0,5.0,2015-7-9,
51.0,test51,Informāciju tehnoloģijas,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,1.0,5.0,2015-7-9,
52.0,test52,Informāciju tehnoloģijas,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,1.0,5.0,2015-7-9,
53.0,test53,Informāciju tehnoloģijas,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,1.0,5.0,2015-7-9,
54.0,test54,Informāciju tehnoloģijas,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,1.0,5.0,2015-7-9,
55.0,test55,Informāciju tehnoloģijas,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,1.0,5.0,2015-7-9,
56.0,test56,Informāciju tehnoloģijas,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,1.0,5.0,2015-7-9,
57.0,test57,Informāciju tehnoloģijas,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,1.0,5.0,2015-7-9,
58.0,test58,Informāciju tehnoloģijas,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,1.0,5.0,2015-7-9,
59.0,test59,Informāciju tehnoloģijas,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,1.0,5.0,2015-7-9,
60.0,test60,Informāciju tehnoloģijas,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,1.0,5.0,2015-7-9,
61.0,test61,Informāciju tehnoloģijas,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,1.0,5.0,2015-7-9,
62.0,test62,Informāciju tehnoloģijas,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,1.0,5.0,2015-7-9,
63.0,test63,Informāciju tehnoloģijas,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,1.0,5.0,2015-7-9,
64.0,test64,Informāciju tehnoloģijas,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,1.0,5.0,2015-7-9,
65.0,test65,Informāciju tehnoloģijas,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,1.0,5.0,2015-7-9,
66.0,test66,Informāciju tehnoloģijas,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,1.0,5.0,2015-7-9,
